year,state_name,reference_period_desc,freq_desc,unit_desc,sector_desc,class_desc,commodity_desc,short_desc,group_desc,statisticcat_desc,Value
2025,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"17,020,549,000"
2024,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"14,891,756,000"
2023,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"15,340,520,000"
2022,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"13,650,531,000"
2021,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"15,017,788,000"
2020,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"14,086,699,000"
2019,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"13,568,306,000"
2018,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"14,321,674,000"
2017,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"14,609,407,000"
2016,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"15,148,038,000"
2015,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"13,601,964,000"
2014,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"14,217,292,000"
2013,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"13,830,704,000"
2012,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"10,755,111,000"
2011,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"12,313,956,000"
2010,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"12,425,330,000"
2009,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"13,067,156,000"
2008,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"12,043,203,000"
2007,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"13,037,875,000"
2006,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"10,531,123,000"
2005,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"11,112,187,000"
2004,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"11,805,581,000"
2003,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"10,087,292,000"
2002,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"8,966,787,000"
2001,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"9,502,580,000"
2000,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"9,915,051,000"
1999,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"9,430,612,000"
1998,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"9,758,685,000"
1997,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"9,206,832,000"
1996,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"9,232,557,000"
1995,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,400,051,000"
1994,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"10,050,520,000"
1993,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"6,337,730,000"
1992,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"9,476,698,000"
1991,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,474,765,000"
1990,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,934,028,000"
1989,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,531,953,000"
1988,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,928,681,000"
1987,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,131,300,000"
1986,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"8,225,764,000"
1985,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"8,875,453,000"
1984,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,672,130,000"
1983,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,174,251,000"
1982,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"8,235,101,000"
1981,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"8,118,650,000"
1980,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"6,639,396,000"
1979,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,928,139,000"
1978,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"7,267,927,000"
1977,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"6,505,041,000"
1976,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"6,289,169,000"
1975,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"5,840,757,000"
1974,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,701,402,000"
1973,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"5,670,712,000"
1972,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"5,579,832,000"
1971,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"5,646,260,000"
1970,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,152,243,000"
1969,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,687,057,000"
1968,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,449,542,000"
1967,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,860,372,000"
1966,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,167,608,000"
1965,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,102,867,000"
1964,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,484,253,000"
1963,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"4,019,238,000"
1962,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,606,311,000"
1961,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,597,803,000"
1960,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,906,949,000"
1959,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,824,598,000"
1958,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,356,205,000"
1957,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,045,355,000"
1956,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,075,336,000"
1955,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,872,959,000"
1954,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,707,913,000"
1953,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,881,801,000"
1952,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,980,793,000"
1951,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,628,937,000"
1950,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,764,071,000"
1949,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,946,206,000"
1948,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"3,307,038,000"
1947,US TOTAL,YEAR,ANNUAL,BU,CROPS,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FIELD CROPS,PRODUCTION,"2,108,320,000"
